Workload	Configuration	Runtime Cycles	Walk Cycles	Non-Walk Cycles
GUPS	LP-LD	695473084485	0	695473084485
GUPS	RPI-LD	4967316861109	0	4967316861109
GUPS	RPI-LD+M	768448672881	0	768448672881
BTree	LP-LD	594614612884	0	594614612884
BTree	RPI-LD	599046421069	0	599046421069
BTree	RPI-LD+M	599048469947	0	599048469947
HashJoin	LP-LD	4533426950094	0	4533426950094
HashJoin	RPI-LD	14732815441267	0	14732815441267
HashJoin	RPI-LD+M	4566482983925	0	4566482983925
Redis	LP-LD	649322818943	0	649322818943
Redis	RPI-LD	1260674143189	0	1260674143189
Redis	RPI-LD+M	711928569540	0	711928569540
XSBench	LP-LD	1650886349752	0	1650886349752
XSBench	RPI-LD	5514323175044	0	5514323175044
XSBench	RPI-LD+M	1687885035583	0	1687885035583
Canneal	LP-LD	460137593651	0	460137593651
Canneal	RPI-LD	2645095726510	0	2645095726510
Canneal	RPI-LD+M	466041061614	0	466041061614
